pID,pair_type,stimulus,meanEG
058,unj_neut,target,6188.2
059,neg_neut,nontarget,5090.8
059,neg_neut,target,3982.05
059,unj_neg,nontarget,4902.1
059,unj_neg,target,4314.95
059,unj_neut,nontarget,5287.75
059,unj_neut,target,3861.05
060,neg_neut,nontarget,4360.611111111111
060,neg_neut,target,3972.1111111111113
060,unj_neg,nontarget,4603.882352941177
060,unj_neg,target,3613.6470588235293
060,unj_neut,nontarget,4913.95
060,unj_neut,target,3440.25
061,neg_neut,nontarget,4077.65
061,neg_neut,target,5151.05
061,unj_neg,nontarget,3809.1
061,unj_neg,target,5352.3
061,unj_neut,nontarget,4957.2
061,unj_neut,target,4256.65
062,neg_neut,nontarget,3138.2
062,neg_neut,target,4481.95
062,unj_neg,nontarget,3480.4
062,unj_neg,target,3533.2
062,unj_neut,nontarget,3251.8
062,unj_neut,target,3197.45
063,neg_neut,nontarget,3297.705882352941
063,neg_neut,target,3724.235294117647
063,unj_neg,nontarget,4133.777777777777
063,unj_neg,target,3993.0555555555557
063,unj_neut,nontarget,4099.222222222223
063,unj_neut,target,3899.222222222222
064,neg_neut,nontarget,4142.15
064,neg_neut,target,3718.4
064,unj_neg,nontarget,4301.4
064,unj_neg,target,3697.9
064,unj_neut,nontarget,4584.3
064,unj_neut,target,3647.95
065,neg_neut,nontarget,4724.5
065,neg_neut,target,3417.7
065,unj_neg,nontarget,5100.85
065,unj_neg,target,3010.35
065,unj_neut,nontarget,5118.1
065,unj_neut,target,3212.9
066,neg_neut,nontarget,4466.3
066,neg_neut,target,4657.85
066,unj_neg,nontarget,4343.5
066,unj_neg,target,5015.3
066,unj_neut,nontarget,4973.2
066,unj_neut,target,4242.85
067,neg_neut,nontarget,4354.85
067,neg_neut,target,4552.15
067,unj_neg,nontarget,4531.8
067,unj_neg,target,4709.85
067,unj_neut,nontarget,4844.6
067,unj_neut,target,4234.45
068,neg_neut,nontarget,4906.15
068,neg_neut,target,3951.2
068,unj_neg,nontarget,4102.9
068,unj_neg,target,4880.4
068,unj_neut,nontarget,4876.15
068,unj_neut,target,4119.9
069,neg_neut,nontarget,4815.2
069,neg_neut,target,4016.9
069,unj_neg,nontarget,5079.4
069,unj_neg,target,3762.95
069,unj_neut,nontarget,4963.4
069,unj_neut,target,3923.95
070,neg_neut,nontarget,5479.55
070,neg_neut,target,3478.4
070,unj_neg,nontarget,5766.75
070,unj_neg,target,3292.25
070,unj_neut,nontarget,5748
070,unj_neut,target,3079.4
071,neg_neut,nontarget,5355.75
071,neg_neut,target,3729.65
071,unj_neg,nontarget,4608.3
071,unj_neg,target,4493.25
071,unj_neut,nontarget,5544.2
071,unj_neut,target,3672.3
072,neg_neut,nontarget,4445.45
072,neg_neut,target,3717.6
072,unj_neg,nontarget,4272.4
072,unj_neg,target,4098.85
072,unj_neut,nontarget,4363.95
072,unj_neut,target,4025.7
073,neg_neut,nontarget,5182.35
073,neg_neut,target,3626.15
073,unj_neg,nontarget,5177.4
073,unj_neg,target,3844
073,unj_neut,nontarget,5983.85
073,unj_neut,target,2907.15
074,neg_neut,nontarget,4904.85
074,neg_neut,target,4094
074,unj_neg,nontarget,4725.55
074,unj_neg,target,4238.35
074,unj_neut,nontarget,5121.4
074,unj_neut,target,3688.4
075,neg_neut,nontarget,5214.75
075,neg_neut,target,3571.2
075,unj_neg,nontarget,4344.15
075,unj_neg,target,4468.8
075,unj_neut,nontarget,5000.55
075,unj_neut,target,3607.25
076,neg_neut,nontarget,3143.65
076,neg_neut,target,5833.7
076,unj_neg,nontarget,5019.05
076,unj_neg,target,3833.9
076,unj_neut,nontarget,4591.45
076,unj_neut,target,4196.5
077,neg_neut,nontarget,3452.95
077,neg_neut,target,3887.05
077,unj_neg,nontarget,4297.105263157895
077,unj_neg,target,3340.6315789473683
077,unj_neut,nontarget,4381.411764705882
077,unj_neut,target,3476.8823529411766
078,neg_neut,nontarget,4550.8
078,neg_neut,target,4285.55
078,unj_neg,nontarget,4491.4
078,unj_neg,target,4101.9
078,unj_neut,nontarget,4144.05
078,unj_neut,target,4586.05
079,neg_neut,nontarget,2812.2
079,neg_neut,target,3550.4
079,unj_neg,nontarget,3109.45
079,unj_neg,target,2931.1
079,unj_neut,nontarget,2941
079,unj_neut,target,2935.842105263158
080,neg_neut,nontarget,3054.2
080,neg_neut,target,5555.65
080,unj_neg,nontarget,3676.45
080,unj_neg,target,5443.3
080,unj_neut,nontarget,3933.3
080,unj_neut,target,4994.05
081,neg_neut,nontarget,4726.2
081,neg_neut,target,4367.3
081,unj_neg,nontarget,4919.4
081,unj_neg,target,4049.75
081,unj_neut,nontarget,5114.1
081,unj_neut,target,3936.65
083,neg_neut,nontarget,2581.35
083,neg_neut,target,2504.15
083,unj_neg,nontarget,2868
083,unj_neg,target,3432.75
083,unj_neut,nontarget,3355.15
083,unj_neut,target,2611.8
084,neg_neut,nontarget,5657.55
084,neg_neut,target,2835.85
084,unj_neg,nontarget,4153.2
084,unj_neg,target,3801.95
084,unj_neut,nontarget,5267.9
084,unj_neut,target,3029
085,neg_neut,nontarget,4431.85
085,neg_neut,target,3455.35
085,unj_neg,nontarget,4077.75
085,unj_neg,target,4121
085,unj_neut,nontarget,4533.25
085,unj_neut,target,3811.25
086,neg_neut,nontarget,4649.6
086,neg_neut,target,3879.15
086,unj_neg,nontarget,4609.4
086,unj_neg,target,4264.8
086,unj_neut,nontarget,4499
086,unj_neut,target,3928.9
087,neg_neut,nontarget,2996.65
087,neg_neut,target,2517.9
087,unj_neg,nontarget,2673.45
087,unj_neg,target,3522.35
087,unj_neut,nontarget,3709.7
087,unj_neut,target,2194.1
092,neg_neut,nontarget,4046.7
092,neg_neut,target,4229.4
092,unj_neg,nontarget,4154.05
092,unj_neg,target,3901.9
092,unj_neut,nontarget,4529.25
092,unj_neut,target,3932.45
093,neg_neut,nontarget,5001.15
093,neg_neut,target,4314.15
093,unj_neg,nontarget,5294.3
093,unj_neg,target,3896.75
093,unj_neut,nontarget,5707.15
093,unj_neut,target,3433.2
094,neg_neut,nontarget,4214.2
094,neg_neut,target,3504
094,unj_neg,nontarget,4259.5
094,unj_neg,target,3449.3
094,unj_neut,nontarget,4423.35
094,unj_neut,target,3402.35
095,neg_neut,nontarget,3923.05
095,neg_neut,target,5145.9
095,unj_neg,nontarget,4980.05
095,unj_neg,target,4109.3
095,unj_neut,nontarget,5036.75
095,unj_neut,target,3940.4
096,neg_neut,nontarget,4654.85
096,neg_neut,target,4252.9
096,unj_neg,nontarget,4365.05
096,unj_neg,target,4545.65
096,unj_neut,nontarget,5483.75
096,unj_neut,target,3575
097,neg_neut,nontarget,6931.65
097,neg_neut,target,2183.65
097,unj_neg,nontarget,5053.1
097,unj_neg,target,4057.8
097,unj_neut,nontarget,6935
097,unj_neut,target,2227.7
098,neg_neut,nontarget,3868.25
098,neg_neut,target,3333.5
098,unj_neg,nontarget,4134.368421052632
098,unj_neg,target,3478.3684210526317
098,unj_neut,nontarget,4122
098,unj_neut,target,3830.7368421052633
099,neg_neut,nontarget,4330.05
099,neg_neut,target,4358.15
099,unj_neg,nontarget,4985.7
099,unj_neg,target,3816.55
099,unj_neut,nontarget,5525.55
099,unj_neut,target,3314.7
101,neg_neut,nontarget,3531.5
101,neg_neut,target,3557.3
101,unj_neg,nontarget,4677.7
101,unj_neg,target,3484.75
101,unj_neut,nontarget,3959.95
101,unj_neut,target,3918.75
102,neg_neut,nontarget,7171.3
102,neg_neut,target,1974.9
102,unj_neg,nontarget,4937.9
102,unj_neg,target,4094.25
102,unj_neut,nontarget,6645.5
102,unj_neut,target,2417.15
103,neg_neut,nontarget,3027.1
103,neg_neut,target,2983
103,unj_neg,nontarget,3395
103,unj_neg,target,3338.85
103,unj_neut,nontarget,3594
103,unj_neut,target,2918.9
