pID,pair_type,AOI,timeOn
020,neg_neut,nontarget,1293
020,unj_neg,target,2139.8
020,unj_neg,nontarget,1235.6
020,unj_neut,target,667.8
020,unj_neut,nontarget,1365.2
021,neg_neut,target,633.6666666666666
021,neg_neut,nontarget,614
021,unj_neg,target,831.6666666666666
021,unj_neg,nontarget,882.3333333333334
021,unj_neut,target,812.1666666666666
021,unj_neut,nontarget,698.8333333333334
022,neg_neut,target,NA
022,neg_neut,nontarget,NA
022,unj_neg,target,1033
022,unj_neg,nontarget,290
022,unj_neut,target,NA
022,unj_neut,nontarget,NA
023,neg_neut,target,604.25
023,neg_neut,nontarget,580.75
023,unj_neg,target,230
023,unj_neg,nontarget,871.5
023,unj_neut,target,555.2
023,unj_neut,nontarget,518.8
024,neg_neut,target,1563.3157894736842
024,neg_neut,nontarget,914.2105263157895
024,unj_neg,target,1414.611111111111
024,unj_neg,nontarget,1455.2777777777778
024,unj_neut,target,1706.8
024,unj_neut,nontarget,722.65
025,neg_neut,target,778
025,neg_neut,nontarget,501.875
025,unj_neg,target,728.5625
025,unj_neg,nontarget,918.0625
025,unj_neut,target,995
025,unj_neut,nontarget,496.05555555555554
026,neg_neut,target,708.0833333333334
026,neg_neut,nontarget,823.3333333333334
026,unj_neg,target,695.3571428571429
026,unj_neg,nontarget,1419.7857142857142
026,unj_neut,target,880.6875
026,unj_neut,nontarget,891.9375
027,neg_neut,target,846.3076923076923
027,neg_neut,nontarget,444.61538461538464
027,unj_neg,target,601.3333333333334
027,unj_neg,nontarget,900.75
027,unj_neut,target,743
027,unj_neut,nontarget,562.2307692307693
028,neg_neut,target,1590.15
028,neg_neut,nontarget,885.2
028,unj_neg,target,892.7368421052631
028,unj_neg,nontarget,1148.157894736842
028,unj_neut,target,1235.45
028,unj_neut,nontarget,846.7
030,neg_neut,target,526.6315789473684
030,neg_neut,nontarget,432.2631578947368
030,unj_neg,target,513.35
030,unj_neg,nontarget,595.4
030,unj_neut,target,647
030,unj_neut,nontarget,639.1
031,neg_neut,target,1187.3846153846155
031,neg_neut,nontarget,479.2307692307692
031,unj_neg,target,728
031,unj_neg,nontarget,1386.8333333333333
031,unj_neut,target,2181.785714285714
031,unj_neut,nontarget,820.9285714285714
032,neg_neut,target,1333.0526315789473
032,neg_neut,nontarget,929.5263157894736
032,unj_neg,target,1175.55
032,unj_neg,nontarget,1374.25
032,unj_neut,target,1219.75
032,unj_neut,nontarget,1285.55
034,neg_neut,target,674.05
034,neg_neut,nontarget,537.7
034,unj_neg,target,779.3333333333334
034,unj_neg,nontarget,1073.7222222222222
034,unj_neut,target,796
034,unj_neut,nontarget,1216.1666666666667
035,neg_neut,target,977.7777777777778
035,neg_neut,nontarget,901.1111111111111
035,unj_neg,target,1881.4736842105262
035,unj_neg,nontarget,903.7894736842105
035,unj_neut,target,1245.5
035,unj_neut,nontarget,1109.6666666666667
036,neg_neut,target,1042.7894736842106
036,neg_neut,nontarget,652.6315789473684
036,unj_neg,target,402.8888888888889
036,unj_neg,nontarget,1629.0555555555557
036,unj_neut,target,421.8125
036,unj_neut,nontarget,1131.25
037,neg_neut,target,544.3571428571429
037,neg_neut,nontarget,427.3333333333333
037,unj_neg,target,419.64285714285717
037,unj_neg,nontarget,942
037,unj_neut,target,785.8823529411765
